image,aeroplane,bicycle,bird,boat,bottle,bus,car,cat,chair,cow,diningtable,dog,horse,motorbike,person,pottedplant,sheep,sofa,train,tvmonitor
../data/VOCdevkit\VOC2012\JPEGImages\2008_000002.jpg,0.0015446431934833527,0.000918370729777962,0.0004311914963182062,8.883630471245851e-06,0.001548360800370574,6.486270081040857e-07,0.00036059675039723516,0.0032493763137608767,1.0050134733319283e-05,8.346246431756299e-06,9.300474630435929e-06,1.954401159309782e-05,4.463141522137448e-05,3.8868936826474965e-05,0.01004610676318407,0.0059866830706596375,4.9847767513711005e-06,0.0008706473163329065,8.998526936920825e-06,0.9999982118606567
../data/VOCdevkit\VOC2012\JPEGImages\2008_000003.jpg,0.0001292244269279763,5.659120688505936e-06,0.00031307991594076157,0.0005119350389577448,0.00024591400870122015,0.0013083090307191014,0.000271964498097077,0.004913036711513996,0.0017212664242833853,1.550731212773826e-05,5.4575797548750415e-05,0.00011812977027148008,0.009880509227514267,0.00020201769075356424,0.000721605378203094,9.88599713309668e-05,0.0023070804309099913,0.0013642768608406186,0.4096660912036896,0.0005220018792897463
../data/VOCdevkit\VOC2012\JPEGImages\2008_000007.jpg,0.002793374937027693,2.0328822358806065e-07,0.00017711998953018337,0.9992903470993042,0.0006524231284856796,2.2399628505809233e-05,4.555299165076576e-05,7.212025229819119e-05,1.4013985492056236e-05,2.696181763894856e-05,8.465016435366124e-05,3.2098457722895546e-06,0.0012494862312451005,1.075136310646485e-06,0.0006189378327690065,4.200529474474024e-06,8.752894018471125e-07,2.7564932679524645e-05,0.0004843719070777297,0.00011976475070696324
../data/VOCdevkit\VOC2012\JPEGImages\2008_000009.jpg,0.00037226188578642905,0.0006095974240452051,0.00023974652867764235,0.000299224688205868,2.1977180949761532e-05,0.0023163831792771816,0.012252003885805607,7.275020470842719e-05,6.7044643401459325e-06,0.146556556224823,3.353415013407357e-05,0.024226810783147812,0.9022756218910217,0.00041045568650588393,0.8169962763786316,0.0034734986256808043,0.0011320151388645172,1.2479194992920384e-05,4.673028888646513e-05,1.4483603081316687e-05
../data/VOCdevkit\VOC2012\JPEGImages\2008_000016.jpg,1.233969328495732e-06,0.0035578757524490356,6.107789522502571e-05,3.888433468546282e-07,0.00042134951218031347,9.706726444846936e-08,6.1262767303560395e-06,0.0012711489107459784,6.899733193677093e-07,4.894997687188152e-07,1.2970487794916608e-08,6.794034106860636e-06,3.151991904815077e-06,4.893573077424662e-06,0.0008822141098789871,0.00025982846273109317,3.169874958075525e-07,0.00032376445597037673,1.4909248946537446e-08,1.0
../data/VOCdevkit\VOC2012\JPEGImages\2008_000021.jpg,0.9999823570251465,8.789717867330182e-06,3.804308653343469e-05,2.692550879146438e-06,0.00040290888864547014,5.020769094699062e-06,5.3262578148860484e-05,1.5002197869762313e-05,6.73209001433861e-07,5.0656261009862646e-05,7.143794937292114e-05,2.1759356968686916e-05,0.006269346456974745,0.002023174660280347,0.12436043471097946,0.00019130996952299029,0.00023767176026012748,1.5558417771899258e-06,6.224810022104066e-06,3.207315330655547e-06
../data/VOCdevkit\VOC2012\JPEGImages\2008_000026.jpg,6.721032150380779e-06,0.0014385523973032832,0.0004714473325293511,0.0001979288790607825,0.0029817894101142883,7.52608320908621e-05,0.0006821861607022583,0.003692502388730645,0.10873199254274368,0.0022571845911443233,0.001767270383425057,0.07904040068387985,8.414458716288209e-05,5.637929461954627e-06,0.9996333122253418,0.005552652291953564,0.001525126863270998,0.0001994621125049889,0.0012949432712048292,0.0005237525328993797
../data/VOCdevkit\VOC2012\JPEGImages\2008_000027.jpg,7.700909918639809e-05,0.004455224610865116,0.00011803879169747233,9.868195047602057e-05,0.0004290388897061348,2.5854433260974474e-05,0.9995477795600891,0.0004947256529703736,0.0005751706194132566,0.00018631989951245487,0.0003587571263778955,2.6543139028945006e-05,1.1806815564341377e-05,0.006896547973155975,0.1485753059387207,4.347916183178313e-05,6.0666210629278794e-05,3.5060163554589963e-06,7.846822882129345e-06,0.0001032101281452924
../data/VOCdevkit\VOC2012\JPEGImages\2008_000032.jpg,0.00011395709589123726,0.0015265761176124215,0.020486924797296524,0.0010353554971516132,0.010669499635696411,0.8115910291671753,0.0005947216413915157,0.002324707107618451,0.003436927916482091,0.00013105853577144444,0.0047050886787474155,1.9384100596653298e-05,0.0014808401465415955,0.0005363257369026542,0.3405516743659973,0.009179956279695034,0.0017299125902354717,0.0002679739554878324,0.020824573934078217,0.0003435134422034025
../data/VOCdevkit\VOC2012\JPEGImages\2008_000034.jpg,4.948094101564493e-06,0.00011913123307749629,4.515715772868134e-06,2.012397271755617e-05,0.09111343324184418,3.636502015069709e-06,2.9723323677899316e-05,0.00031143781961873174,0.0029689143411815166,2.905028850364033e-05,0.0011267525842413306,0.00022069807164371014,2.109439083142206e-05,9.947702892532106e-06,0.9999778270721436,0.0006386990426108241,1.0314714018022642e-05,0.0129451435059309,4.392861228552647e-05,0.0002867395232897252
../data/VOCdevkit\VOC2012\JPEGImages\2008_000042.jpg,0.00018350825121160597,0.00028675157227553427,0.029127903282642365,0.057122983038425446,2.0468626189540373e-06,0.00013118870265316218,0.007848500274121761,0.00041112295002676547,1.1936320333916228e-05,0.00011628247739281505,7.322369128814898e-07,7.912702130852267e-05,0.00011449854355305433,5.3391497203847393e-05,3.0205410439521074e-05,0.02674362063407898,3.804473408308695e-06,7.090889994287863e-05,5.731539931730367e-05,1.7987607634495362e-06
../data/VOCdevkit\VOC2012\JPEGImages\2008_000043.jpg,2.8788977942895144e-05,0.0001785495987860486,4.982635800843127e-05,7.256591061377549e-07,0.004953395575284958,1.11449671749142e-05,1.4119626030151267e-05,0.0012076233979314566,1.0,2.161439397241338e-06,0.9999996423721313,2.772421794361435e-05,2.546260475355666e-06,7.681517672608607e-06,0.00022366827761288732,0.0011827676789835095,9.520899766357616e-06,9.682902600616217e-05,1.346360022580484e-06,0.00015004085435066372
