image,gt,aeroplane,bicycle,bird,boat,bottle,bus,car,cat,chair,cow,diningtable,dog,horse,motorbike,person,pottedplant,sheep,sofa,train,tvmonitor
../data/VOCdevkit\VOC2012\JPEGImages\2008_000002.jpg,['tvmonitor'],0.0015446431934833527,0.0009183707297779619,0.0004311914963182062,8.883630471245851e-06,0.001548360800370574,6.486270081040857e-07,0.0003605967503972352,0.003249376313760877,1.0050134733319284e-05,8.346246431756299e-06,9.300474630435927e-06,1.954401159309782e-05,4.463141522137448e-05,3.886893682647497e-05,0.01004610676318407,0.005986683070659638,4.9847767513711005e-06,0.0008706473163329066,8.998526936920825e-06,0.9999982118606568
../data/VOCdevkit\VOC2012\JPEGImages\2008_000003.jpg,"['person', 'train']",0.00012922442692797628,5.659120688505936e-06,0.0003130799159407616,0.0005119350389577448,0.0002459140087012201,0.0013083090307191016,0.000271964498097077,0.004913036711513996,0.001721266424283385,1.550731212773826e-05,5.457579754875042e-05,0.00011812977027148008,0.009880509227514269,0.00020201769075356424,0.000721605378203094,9.88599713309668e-05,0.0023070804309099913,0.0013642768608406186,0.4096660912036896,0.0005220018792897463
../data/VOCdevkit\VOC2012\JPEGImages\2008_000007.jpg,['boat'],0.002793374937027693,2.0328822358806067e-07,0.00017711998953018335,0.9992903470993042,0.0006524231284856796,2.2399628505809236e-05,4.555299165076576e-05,7.212025229819119e-05,1.4013985492056234e-05,2.696181763894856e-05,8.465016435366124e-05,3.209845772289554e-06,0.0012494862312451005,1.0751363106464849e-06,0.0006189378327690065,4.200529474474023e-06,8.752894018471125e-07,2.7564932679524645e-05,0.0004843719070777297,0.00011976475070696323
../data/VOCdevkit\VOC2012\JPEGImages\2008_000009.jpg,['cow'],0.00037226188578642905,0.0006095974240452051,0.00023974652867764237,0.000299224688205868,2.1977180949761525e-05,0.0023163831792771816,0.012252003885805609,7.275020470842719e-05,6.7044643401459325e-06,0.146556556224823,3.353415013407357e-05,0.02422681078314781,0.9022756218910216,0.00041045568650588393,0.8169962763786316,0.0034734986256808047,0.0011320151388645172,1.2479194992920386e-05,4.673028888646513e-05,1.4483603081316687e-05
../data/VOCdevkit\VOC2012\JPEGImages\2008_000016.jpg,['tvmonitor'],1.233969328495732e-06,0.003557875752449036,6.107789522502571e-05,3.888433468546282e-07,0.0004213495121803135,9.706726444846936e-08,6.12627673035604e-06,0.0012711489107459786,6.899733193677092e-07,4.894997687188153e-07,1.2970487794916608e-08,6.794034106860636e-06,3.151991904815077e-06,4.893573077424662e-06,0.0008822141098789871,0.0002598284627310932,3.169874958075525e-07,0.0003237644559703768,1.4909248946537446e-08,1.0
../data/VOCdevkit\VOC2012\JPEGImages\2008_000021.jpg,['aeroplane'],0.9999823570251464,8.789717867330182e-06,3.804308653343469e-05,2.692550879146438e-06,0.0004029088886454701,5.0207690946990616e-06,5.326257814886048e-05,1.5002197869762314e-05,6.73209001433861e-07,5.065626100986265e-05,7.143794937292114e-05,2.175935696868692e-05,0.006269346456974746,0.002023174660280347,0.12436043471097945,0.00019130996952299029,0.00023767176026012748,1.555841777189926e-06,6.224810022104067e-06,3.207315330655547e-06
../data/VOCdevkit\VOC2012\JPEGImages\2008_000026.jpg,"['dog', 'person']",6.721032150380778e-06,0.0014385523973032832,0.00047144733252935117,0.0001979288790607825,0.0029817894101142888,7.52608320908621e-05,0.0006821861607022582,0.003692502388730645,0.10873199254274367,0.0022571845911443233,0.001767270383425057,0.07904040068387985,8.414458716288209e-05,5.637929461954627e-06,0.9996333122253418,0.005552652291953564,0.001525126863270998,0.0001994621125049889,0.0012949432712048292,0.0005237525328993797
../data/VOCdevkit\VOC2012\JPEGImages\2008_000027.jpg,['car'],7.700909918639809e-05,0.004455224610865115,0.00011803879169747232,9.868195047602056e-05,0.0004290388897061348,2.5854433260974474e-05,0.9995477795600892,0.0004947256529703736,0.0005751706194132566,0.0001863198995124549,0.00035875712637789553,2.654313902894501e-05,1.1806815564341376e-05,0.006896547973155975,0.1485753059387207,4.347916183178313e-05,6.0666210629278794e-05,3.5060163554589967e-06,7.846822882129345e-06,0.0001032101281452924
../data/VOCdevkit\VOC2012\JPEGImages\2008_000032.jpg,"['bus', 'person']",0.00011395709589123726,0.0015265761176124215,0.020486924797296524,0.0010353554971516132,0.010669499635696413,0.8115910291671753,0.0005947216413915157,0.002324707107618451,0.003436927916482091,0.00013105853577144444,0.0047050886787474155,1.9384100596653298e-05,0.0014808401465415955,0.0005363257369026542,0.3405516743659973,0.009179956279695034,0.0017299125902354715,0.0002679739554878324,0.020824573934078217,0.00034351344220340247
../data/VOCdevkit\VOC2012\JPEGImages\2008_000034.jpg,"['bottle', 'person']",4.948094101564493e-06,0.00011913123307749629,4.515715772868133e-06,2.012397271755617e-05,0.09111343324184418,3.636502015069709e-06,2.9723323677899323e-05,0.00031143781961873174,0.002968914341181517,2.905028850364033e-05,0.0011267525842413304,0.0002206980716437101,2.109439083142206e-05,9.947702892532106e-06,0.9999778270721436,0.0006386990426108241,1.0314714018022643e-05,0.0129451435059309,4.392861228552647e-05,0.0002867395232897252
