image,aeroplane,bicycle,bird,boat,bottle,bus,car,cat,chair,cow,diningtable,dog,horse,motorbike,person,pottedplant,sheep,sofa,train,tvmonitor
../data/VOCdevkit\VOC2012\JPEGImages\2008_000002.jpg,0.052102457731962204,0.0001777641155058518,0.0008847011486068368,0.0001405441580573097,0.00032951816683635116,0.000860671338159591,0.022058885544538498,0.0006578047177754343,0.003413211787119508,0.00022667391749564558,3.906160418409854e-05,0.0010060889180749655,0.0004545641131699085,3.544909486663528e-05,0.05005273595452309,0.0003162743232678622,1.758628241077531e-05,0.0005511514027602971,5.883964695385657e-05,0.7896699905395508
../data/VOCdevkit\VOC2012\JPEGImages\2008_000003.jpg,0.00018726439157035202,0.004502216354012489,0.005041004158556461,0.002265763934701681,0.00015914558025542647,0.04514680430293083,0.0025780126452445984,8.037054067244753e-05,0.0009087645448744297,0.000508479424752295,0.0004865233786404133,0.004066076595336199,0.002248096512630582,0.0003447183989919722,0.463820219039917,0.002344771521165967,0.010945088230073452,0.0010896127205342054,0.06918711215257645,0.01045660488307476
../data/VOCdevkit\VOC2012\JPEGImages\2008_000007.jpg,0.019623568281531334,2.132466579496395e-05,0.020162466913461685,0.9541758298873901,0.0001251067005796358,0.0011169518111273646,0.00015154859283939004,0.00014829859719611704,0.0017355367308482528,9.215755562763661e-05,0.0001803403429221362,1.6357194908778183e-05,0.05927557498216629,6.168676918605343e-05,0.9796552658081055,1.7507416487205774e-05,9.998759196605533e-06,4.320604602980893e-06,4.925819666823372e-05,0.00014751403068657964
../data/VOCdevkit\VOC2012\JPEGImages\2008_000009.jpg,5.406573563959682e-06,0.0038935537450015545,0.005040920339524746,0.0002826456620823592,8.275398613477591e-06,0.00016776083793956786,0.07958380877971649,1.1565122804313432e-05,6.129033135948703e-05,0.07582960277795792,0.000126248414744623,0.6731123328208923,0.01951027102768421,0.00034019025042653084,0.004073484800755978,0.00036289109266363084,0.055548764765262604,1.2770083230861928e-05,1.2615509149327409e-05,5.352602784114424e-06
../data/VOCdevkit\VOC2012\JPEGImages\2008_000016.jpg,4.483742668526247e-05,0.008423510007560253,0.0016442921478301287,0.0007487996481359005,0.0003982643538620323,0.007216829340904951,0.08498337864875793,5.911015614401549e-05,0.0008492274209856987,4.405912841320969e-05,1.8447657566866837e-05,0.0005627705249935389,9.31152026169002e-05,0.00022369707585312426,0.09047691524028778,0.0002714740694500506,7.931939762784168e-06,0.0005415581981651485,0.00018401637498755008,0.9397710561752319
../data/VOCdevkit\VOC2012\JPEGImages\2008_000021.jpg,0.9986442923545837,0.0009864108869805932,1.820344914449379e-05,2.540012701501837e-06,2.453482011333108e-05,9.639014024287462e-05,0.0008791650179773569,9.902016608975828e-05,2.8747267606377136e-06,0.001048046862706542,2.1810752514284104e-05,2.1590480173472315e-05,0.003145001595839858,0.00427616760134697,0.628197968006134,4.687727050622925e-05,2.206064891652204e-05,1.7147020116681233e-05,2.0485935237957165e-05,4.693572009273339e-06
../data/VOCdevkit\VOC2012\JPEGImages\2008_000026.jpg,9.216663784172852e-06,0.074455127120018,0.010849123820662498,0.0003532705013640225,0.0005411634920164943,0.00016407715156674385,0.0007328688516281545,0.00022403754701372236,0.0017411517910659313,0.0014485904248431325,0.00010138214565813541,0.002557410392910242,0.0018184712389484048,0.0017341956263408065,0.9999817609786987,0.0008545108721591532,0.0007480945787392557,9.995357686420903e-05,0.001088218530640006,6.48274362902157e-05
../data/VOCdevkit\VOC2012\JPEGImages\2008_000027.jpg,8.343842637259513e-06,0.0017921584658324718,0.0004932844312861562,0.0008648224174976349,5.882847631255572e-07,0.00024477479746565223,0.9999996423721313,1.722610068100039e-05,9.751518518896773e-05,0.00025109341368079185,0.0007881002966314554,0.0007401235634461045,9.303277693106793e-06,0.009916520677506924,0.9699018001556396,9.533932256999833e-07,2.872784716601018e-05,3.9426854527846444e-06,2.4257915356429294e-05,3.11655367113417e-06
../data/VOCdevkit\VOC2012\JPEGImages\2008_000032.jpg,5.377949491958134e-05,0.017073238268494606,0.0004629271279554814,0.0007610233151353896,1.1478560736577492e-05,0.9998998641967773,0.021346332505345345,0.0004237429238855839,0.00306337745860219,0.00035963530535809696,0.002681025303900242,8.913718193070963e-05,0.006510333623737097,0.00025661077233962715,0.9227080941200256,0.000982718775048852,0.00019270225311629474,0.0003463805478531867,0.0030534141696989536,3.2534760975977406e-05
../data/VOCdevkit\VOC2012\JPEGImages\2008_000034.jpg,5.443571353680454e-05,0.0020557655952870846,0.00018747913418337703,8.423451072303578e-05,0.00016005989164113998,7.765509508317336e-05,0.00042925120214931667,0.005080774426460266,0.00019179616356268525,0.00013717924593947828,5.5499825975857675e-05,0.034188006073236465,0.0020808547269552946,0.0012010232312604785,0.9999526739120483,0.0007430840632878244,4.659954720409587e-05,0.010279064998030663,8.850414451444522e-05,0.00013565912377089262
../data/VOCdevkit\VOC2012\JPEGImages\2008_000042.jpg,9.233019227394834e-06,0.42787665128707886,0.06384725123643875,0.0019024079665541649,5.572230293182656e-06,0.0065956274047493935,0.5538410544395447,5.467836308525875e-05,7.07777653587982e-05,0.0018331932369619608,3.536980875651352e-05,1.7808162738219835e-05,0.0010246953461319208,0.0009852133225649595,0.0007458157488144934,0.004992705304175615,1.5937061107251793e-05,8.606280971434899e-06,0.0005571364308707416,1.2210048225824721e-05
../data/VOCdevkit\VOC2012\JPEGImages\2008_000043.jpg,3.8152484194142744e-05,0.43858736753463745,0.0002870954049285501,4.0274222556035966e-05,0.002148720435798168,0.00017866489361040294,0.002344637643545866,4.199507748126052e-05,0.999685525894165,0.0001489881396992132,0.9930967688560486,1.7863816538010724e-05,0.0006605176604352891,0.0006577473832294345,0.05243093892931938,0.006402473896741867,1.6634945495752618e-05,0.002848372096195817,0.00012665065878536552,0.00117647519800812
../data/VOCdevkit\VOC2012\JPEGImages\2008_000050.jpg,0.0007108048303052783,0.0016919972840696573,0.0002322289365110919,0.003571603447198868,4.847445325140143e-06,0.0014566086465492845,0.9890143275260925,0.00018295599147677422,2.4805800421745516e-05,0.0005111326463520527,0.00012170843547210097,1.1318000360915903e-05,0.0010159778175875545,0.01302694994956255,0.8149135708808899,7.436044597852742e-06,5.039256575400941e-05,1.4175619071465917e-05,0.0004406688385643065,9.125216820393689e-06
