image,gt,aeroplane,bicycle,bird,boat,bottle,bus,car,cat,chair,cow,diningtable,dog,horse,motorbike,person,pottedplant,sheep,sofa,train,tvmonitor
../data/VOCdevkit\VOC2012\JPEGImages\2008_000002.jpg,['tvmonitor'],0.052102457731962204,0.0001777641155058518,0.0008847011486068367,0.0001405441580573097,0.0003295181668363512,0.0008606713381595911,0.022058885544538498,0.0006578047177754343,0.003413211787119508,0.0002266739174956456,3.906160418409854e-05,0.0010060889180749657,0.00045456411316990847,3.544909486663528e-05,0.05005273595452309,0.0003162743232678622,1.758628241077531e-05,0.0005511514027602972,5.8839646953856566e-05,0.7896699905395508
../data/VOCdevkit\VOC2012\JPEGImages\2008_000003.jpg,"['person', 'train']",0.000187264391570352,0.004502216354012489,0.005041004158556461,0.0022657639347016807,0.0001591455802554265,0.04514680430293083,0.0025780126452445984,8.037054067244753e-05,0.0009087645448744297,0.000508479424752295,0.0004865233786404133,0.004066076595336199,0.002248096512630582,0.00034471839899197215,0.46382021903991705,0.002344771521165967,0.010945088230073452,0.0010896127205342054,0.06918711215257645,0.010456604883074759
../data/VOCdevkit\VOC2012\JPEGImages\2008_000007.jpg,['boat'],0.01962356828153133,2.132466579496395e-05,0.020162466913461685,0.95417582988739,0.0001251067005796358,0.0011169518111273646,0.00015154859283939004,0.00014829859719611704,0.0017355367308482528,9.21575556276366e-05,0.0001803403429221362,1.6357194908778187e-05,0.05927557498216629,6.168676918605343e-05,0.9796552658081056,1.7507416487205774e-05,9.998759196605533e-06,4.320604602980893e-06,4.925819666823372e-05,0.00014751403068657964
../data/VOCdevkit\VOC2012\JPEGImages\2008_000009.jpg,['cow'],5.4065735639596815e-06,0.0038935537450015545,0.005040920339524746,0.0002826456620823592,8.275398613477591e-06,0.00016776083793956786,0.07958380877971649,1.1565122804313432e-05,6.129033135948703e-05,0.07582960277795793,0.000126248414744623,0.6731123328208923,0.019510271027684208,0.00034019025042653084,0.0040734848007559785,0.00036289109266363084,0.055548764765262604,1.2770083230861928e-05,1.2615509149327409e-05,5.352602784114423e-06
../data/VOCdevkit\VOC2012\JPEGImages\2008_000016.jpg,['tvmonitor'],4.483742668526247e-05,0.008423510007560253,0.0016442921478301287,0.0007487996481359005,0.00039826435386203235,0.007216829340904952,0.08498337864875792,5.911015614401549e-05,0.0008492274209856987,4.405912841320969e-05,1.844765756686684e-05,0.0005627705249935389,9.31152026169002e-05,0.0002236970758531242,0.09047691524028778,0.0002714740694500506,7.931939762784168e-06,0.0005415581981651485,0.00018401637498755008,0.939771056175232
../data/VOCdevkit\VOC2012\JPEGImages\2008_000021.jpg,['aeroplane'],0.9986442923545836,0.0009864108869805932,1.820344914449379e-05,2.5400127015018366e-06,2.453482011333108e-05,9.639014024287462e-05,0.0008791650179773568,9.902016608975828e-05,2.8747267606377136e-06,0.001048046862706542,2.1810752514284107e-05,2.1590480173472315e-05,0.0031450015958398576,0.0042761676013469705,0.628197968006134,4.6877270506229245e-05,2.206064891652204e-05,1.7147020116681233e-05,2.0485935237957165e-05,4.693572009273339e-06
../data/VOCdevkit\VOC2012\JPEGImages\2008_000026.jpg,"['dog', 'person']",9.216663784172853e-06,0.074455127120018,0.010849123820662498,0.0003532705013640225,0.0005411634920164944,0.00016407715156674385,0.0007328688516281545,0.00022403754701372241,0.0017411517910659313,0.0014485904248431325,0.0001013821456581354,0.002557410392910242,0.0018184712389484048,0.0017341956263408065,0.9999817609786988,0.0008545108721591532,0.0007480945787392558,9.995357686420904e-05,0.001088218530640006,6.48274362902157e-05
../data/VOCdevkit\VOC2012\JPEGImages\2008_000027.jpg,['car'],8.343842637259513e-06,0.0017921584658324718,0.0004932844312861562,0.0008648224174976349,5.882847631255572e-07,0.00024477479746565223,0.9999996423721312,1.722610068100039e-05,9.751518518896772e-05,0.00025109341368079185,0.0007881002966314554,0.0007401235634461045,9.303277693106793e-06,0.009916520677506924,0.9699018001556396,9.533932256999832e-07,2.8727847166010182e-05,3.942685452784645e-06,2.425791535642929e-05,3.11655367113417e-06
../data/VOCdevkit\VOC2012\JPEGImages\2008_000032.jpg,"['bus', 'person']",5.377949491958134e-05,0.017073238268494606,0.00046292712795548136,0.0007610233151353897,1.1478560736577492e-05,0.9998998641967772,0.021346332505345345,0.0004237429238855839,0.00306337745860219,0.00035963530535809696,0.0026810253039002423,8.913718193070963e-05,0.006510333623737097,0.00025661077233962715,0.9227080941200256,0.000982718775048852,0.00019270225311629474,0.00034638054785318667,0.0030534141696989536,3.253476097597741e-05
../data/VOCdevkit\VOC2012\JPEGImages\2008_000034.jpg,"['bottle', 'person']",5.443571353680454e-05,0.0020557655952870846,0.00018747913418337705,8.423451072303578e-05,0.00016005989164113998,7.765509508317336e-05,0.0004292512021493167,0.005080774426460265,0.00019179616356268522,0.00013717924593947828,5.5499825975857675e-05,0.034188006073236465,0.0020808547269552946,0.0012010232312604785,0.9999526739120485,0.0007430840632878244,4.659954720409587e-05,0.010279064998030664,8.850414451444522e-05,0.00013565912377089262
